,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES,AET,AMG,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE,AGN,ADS,LNT,ALL,GOOGL,GOOG,MO,AMZN,AEE,AAL,AEP,AXP,AIG,AMT,AWK,AMP,ABC,AME,AMGN,APH,APC,ADI,ANSS,ANTM,AON,AOS,APA,AIV,AAPL,AMAT,APTV,ADM,ARNC,ANET,AJG,AIZ,T,ADSK,ADP,AZO,AVB,AVY,BHGE,BLL,BAC,BK,BAX,BBT
MMM,1.0,0.9359527108060354,0.9264660012508286,0.8084012839869875,0.9649021920824489,0.9356077510414413,0.9056935363645925,0.4697717650516913,0.6907272897777449,0.43686036127353195,0.9740348690011242,0.6519063846944111,0.9566075369114851,0.9634477758296732,0.9821511699024053,0.7401814160191154,0.8905022399478498,0.8577823208557197,0.9538516910592771,0.5963035778155328,0.8287922170466648,0.9461588668912166,0.7037555662043015,0.7424599090894295,0.9755681566909818,0.9878450283079179,0.9685686080891097,0.9676420978509492,0.948574473219432,0.8809224055932072,0.9722365095949067,0.9124825513185539,0.9742226466937142,0.8438046473427488,0.8887048818322723,0.9741130097327253,0.9702111350269526,0.9514966860843119,0.8629314347614826,0.9311866494948834,0.9583309764405331,0.9867458243770625,-0.251555069497303,0.9656492441660138,0.9087476583713255,0.953052459815671,0.9877546334139718,0.9826573837950867,-0.8219922889734135,0.946757237123515,0.9282474122948102,0.9315485450503755,0.9360204547699132,0.848972673083104,0.001440938062320642,0.8798233284155413,0.9551754966659862,0.9634362018540502,0.8778438336069457,0.9119380398979684,0.965821440172584,0.83772252185828,0.9033748194036592,0.9666442516040641,0.05767242357302696,0.9522504944821375,0.8731004062246266,0.9679006765805535,0.9452298839831071,0.9492845008450569
ABT,0.9359527108060354,1.0,0.9483510941747371,0.8573527654628897,0.9527821076025142,0.8988151448083264,0.9218001179314598,0.4383642357001696,0.6996006872871304,0.5372349014768908,0.9576783890327942,0.7028475881245413,0.9239663136829208,0.9224189658669519,0.9458601287912041,0.7802196461534091,0.8108006339323091,0.7502184960096533,0.8886568478573641,0.674693099027937,0.8721783905008544,0.8171227337709239,0.6968541845817122,0.7871643755127627,0.919599135015917,0.9619320685905418,0.9404793172125046,0.9411950690218348,0.8609416983248942,0.8942443568110212,0.9280916812429478,0.8633828957440145,0.9248622793691844,0.9172402283365231,0.8231947333589953,0.9568312891281272,0.9125967864933475,0.943508951163402,0.8647155481742388,0.9751977729319506,0.9556565540387612,0.9602709589271348,-0.08894291141208686,0.945716915972478,0.9517438120749983,0.9542177767041883,0.9523426537150755,0.9228973967504854,-0.8257436435540129,0.8858970850902878,0.9607975797678411,0.8552509599742183,0.9506325911866924,0.857632892378166,-0.0989754275806309,0.9311377386996718,0.9695710135284098,0.9000342948455811,0.8118429766383076,0.8983432090174176,0.9656733982291124,0.8165857879436677,0.8608372705763014,0.9100930740715554,0.00379596439695518,0.9166482596305559,0.8395948578222192,0.917246125071452,0.9404966799187406,0.9443393299812262
ABBV,0.9264660012508286,0.9483510941747371,1.0,0.8891747466473326,0.9351619171635697,0.9209834923209891,0.9361919506753447,0.7354102334019293,0.14381065185693076,0.23698759132218686,0.9453178400963238,0.002134062364391954,0.9328768772802988,0.9408828249248922,0.9203367144382524,0.5566583288389206,0.5241558665676329,0.7487726603326597,0.8933829491293734,-0.09372137852054684,0.9094731826315203,0.8553823208137201,0.0518656720311112,0.1649058996073489,0.8508466200994551,0.940028741359176,0.912098130968681,0.9167529210330165,0.7126494822461833,0.9055751888977887,0.8741813263912739,0.6638461358262395,0.8459572121180124,0.7209773931258429,0.6117118108694656,0.925966909978357,0.8510195106491426,0.8853854185437092,0.5766633926127641,0.9385659638948654,0.8816100560721805,0.9519545706426823,-0.4570168459735864,0.9270870709529846,0.9262026848732141,0.9500054019260307,0.9260238400384397,0.9047260163779398,-0.6798413265243791,0.7477733373319796,0.9268736286260706,0.9104458923574881,0.9348350729914443,0.613501308369247,0.06256850365418726,0.9573923388517673,0.9415266705026891,0.807937084703415,0.5708942890044386,0.9201095007918924,0.9212014615937085,0.4973107617380407,0.6847373625335378,0.9450587876056483,-0.2005625063138387,0.7889669011604702,0.9265908573905679,0.9306913405295874,0.9257639930994608,0.9313578411259889
ABMD,0.8084012839869875,0.8573527654628897,0.8891747466473326,1.0,0.8994888754300691,0.931839198348806,0.9727331192679153,0.7172620103497208,0.4577439193804971,0.4391302853856693,0.8933559839151364,0.28881460775597706,0.8775053254319107,0.8618560975109651,0.824355077106515,0.6255113544957459,0.6082750533892451,0.7187331869723946,0.8737409091379128,0.2749072041235953,0.9745077407751168,0.8199380431934462,0.35509270522688313,0.413800328455247,0.8109967846960915,0.8286859621814957,0.8841436723938988,0.8894185639517718,0.7127322390826883,0.9779635541604683,0.8483322846947068,0.6023611194428486,0.7867076293941719,0.6933540985972111,0.5782530770489575,0.846353984351587,0.8272383193730735,0.7312677335611316,0.596856896671952,0.8015689228382394,0.7720845197338919,0.8681384360222422,-0.2812676249812241,0.890440064568636,0.9328376420272223,0.9090441276528236,0.8371006793589675,0.8488368501264785,-0.6832000483944947,0.7415678775329202,0.8918033620770581,0.848205796804101,0.8095053845161969,0.6412890098055647,-0.1859215971780206,0.9045049213964483,0.8644839018974456,0.8004347655250968,0.6104995742684638,0.9289680578187102,0.8938037580280559,0.6107885670309167,0.6953255052766976,0.893302538557289,-0.11801990005936121,0.7235693362818431,0.851861844610295,0.8251153029434254,0.9128804021783686,0.8491794044345667
ACN,0.9649021920824489,0.9527821076025142,0.9351619171635697,0.8994888754300691,1.0,0.9644068941329796,0.9529312953064568,0.5308728131392224,0.6718443845748687,0.4311636217537215,0.9860625094786016,0.5667733380845627,0.9573148750732505,0.9551455816038416,0.9620187777726976,0.7151556633861724,0.846472481750913,0.8411738292721261,0.9559065639925005,0.5459947609284004,0.8972414270831315,0.943983776621441,0.6299580177175805,0.6803753152508697,0.9686908752495876,0.9675857770423146,0.9836146630092107,0.9840599836452858,0.9233157194753059,0.9507056769079154,0.9764095271923386,0.8310149224186345,0.9602684076484078,0.8259082279125037,0.8259927644782852,0.9765078779383569,0.975211193774105,0.9008109483511317,0.8144270417227826,0.9365440334215428,0.9415945011480196,0.9824410568408884,-0.2619536983999713,0.9786674447844566,0.9588653403637265,0.9640520770590731,0.9748159511553792,0.9795889998979859,-0.8362963515816487,0.9325504758227724,0.9531074873839374,0.909826954842394,0.9143275671827696,0.7964705074431601,-0.15991472122704375,0.9147481135969228,0.9690352677052343,0.9517167592757916,0.8640582803037672,0.9341104834787712,0.9844504606472819,0.8378169537048796,0.8973151308185061,0.9723371842976828,-0.029485307854392705,0.9257420368411893,0.8605412385656399,0.9402748016244977,0.9724302681777671,0.9477816961573702
ATVI,0.9356077510414413,0.8988151448083264,0.9209834923209891,0.931839198348806,0.9644068941329796,1.0,0.9745637653155005,0.6685725165686891,0.5318986709369586,0.3796124729706023,0.9651786023283175,0.4144752020433524,0.9483883799992863,0.9549161402121468,0.9158852645514559,0.6303074883560699,0.7751845708617295,0.8664407846783766,0.959793161401802,0.3813771280879488,0.9357694564549842,0.9512924455550633,0.5038664994967537,0.5391717601486902,0.9281581507902233,0.931879785359836,0.9691250093055466,0.9713237361007921,0.8688317987395595,0.9725590237282102,0.9499266238253921,0.7555225582526768,0.912576451909923,0.7508909177464795,0.745809259230062,0.9467694666617381,0.9385095000493034,0.8440681328951644,0.7102819210173783,0.8712209339006725,0.8738862949786939,0.9552014974404652,-0.37296346580881085,0.9610822224038792,0.9474363019990112,0.9563275894195615,0.9426582034186245,0.9587675572992642,-0.7810569518083434,0.8727075610077493,0.93144524554701,0.9468403783819053,0.8867461082651268,0.7148295091544313,-0.11647885965379945,0.9224295014549733,0.9286568739011414,0.9251034172956389,0.7691669399917598,0.9675500206160698,0.9487530506981982,0.7108231353190045,0.8269297282981114,0.9783168260370344,-0.072862543673859,0.8537733371832947,0.9001931613793362,0.9277392592943633,0.9714827427113495,0.9192217211731548
ADBE,0.9056935363645925,0.9218001179314598,0.9361919506753447,0.9727331192679153,0.9529312953064568,0.9745637653155005,1.0,0.6857720157689036,0.5272382234307029,0.4780165830391065,0.9545724771998304,0.431777226798335,0.9478847133723215,0.9421933771698555,0.90574523776832,0.6848411526026628,0.7136379403346075,0.8055612496559728,0.9283248296982557,0.3855861215358528,0.9771584256192282,0.8736345372860386,0.4704434589881802,0.5428241020081073,0.8914974891460252,0.9213509863948697,0.9521072647889509,0.9564492904609393,0.8042620654783393,0.9881282955879754,0.921272643352384,0.7319995268754053,0.8751329424334232,0.7954936934083708,0.7029435489948225,0.9251056627662513,0.899304522245583,0.8468669933074374,0.6950074666929005,0.8870548498669321,0.8588968871655754,0.9458697528187066,-0.260478550374965,0.9538758517395124,0.9698942111939204,0.9641312586591185,0.9225541812109915,0.9231725653137628,-0.7388203129323916,0.8240937933554933,0.9407952899091099,0.9254822347785011,0.8938777293409461,0.7393399037538676,-0.09627717450636106,0.9637019737649865,0.9367215264407014,0.885980396505985,0.7056180047825817,0.9757976268612886,0.9514965955108463,0.6816085907245649,0.7717927927055986,0.9567417182758827,-0.05174471023598258,0.820272980572702,0.9212428705183558,0.9129204198057438,0.9686610946925709,0.9274323279272173
AMD,0.4697717650516913,0.4383642357001696,0.7354102334019293,0.7172620103497208,0.5308728131392224,0.6685725165686891,0.6857720157689036,1.0,0.023609840979207222,0.33597739384448827,0.5438850337626288,-0.15414467426127523,0.5761234120233019,0.6003641211181276,0.44879897758775816,0.2098390013514943,0.25565839593086925,0.6270887950519458,0.6083107412810025,-0.2218928985251694,0.7443713313089512,0.80068636304593,-0.09933674590612003,-0.04580696428577327,0.458882851732636,0.47699688089082026,0.5441385132817285,0.5526684072931386,0.3643704106400346,0.7072393156978536,0.5279187745747691,0.19904453448989667,0.41336627288558936,0.3324803639260059,0.21256173890406316,0.48838214425630666,0.47799765485914314,0.36556105823915314,0.11982743713222771,0.38168644151195646,0.35028861680291934,0.5313918507740495,-0.3114830507119434,0.5757527500127013,0.5907685806139508,0.5861093862617114,0.4919291192636732,0.5008814192154142,-0.20896258246387242,0.3841235584721541,0.5622102887592011,0.634725362099261,0.5691403970916958,0.2961893253782536,0.05795732488494965,0.8045502532800737,0.5210548849779362,0.483568195832445,0.2485971479758044,0.7180587426389655,0.5421710215184377,0.13670895858453336,0.31372430762775666,0.5954262083325772,-0.019592996224442532,0.33086843903385943,0.6765611538414324,0.5102132909188289,0.6186670203077906,0.5282415271088993
AAP,0.6907272897777449,0.6996006872871304,0.14381065185693076,0.4577439193804971,0.6718443845748687,0.5318986709369586,0.5272382234307029,0.023609840979207222,1.0,0.40504863441374944,0.6809324203363696,0.6829710493957661,0.6037872864969539,0.5560690672757015,0.7620881106341525,0.7960206359143264,0.8602193516384319,0.3439356018133752,0.6137006647823511,0.8411615882009664,0.390958603544137,-0.18833912149207566,0.9174021747653176,0.8514371969795457,0.7279444025439888,0.685929054762634,0.6714508974676575,0.6594399412609627,0.7868050329159536,0.5126252950791543,0.6923762850605055,0.822304301699218,0.7451185795860217,0.6484653991558387,0.8241395889596589,0.6678681779591804,0.7059165489434475,0.7145424389786544,0.8863632881941971,0.6957887776719511,0.813248567424312,0.6759706549528032,0.020608800488209008,0.632574921432975,0.5389807913381996,0.6413341980544246,0.7078602604323875,0.6703209779824671,-0.6951771385063084,0.7969108131794617,0.649771190132046,0.429963494305662,0.549923225615614,0.8362019664409963,-0.01861137719419597,-0.5321481447987688,0.6485041236219301,0.7523774354363743,0.7541249442880731,0.4853694746749442,0.7151730933709121,0.931880876318866,0.8075240677275566,0.574301909111146,0.22592995250023887,0.8255377998175436,0.4437645691729853,0.6725275055743438,0.5487471907419016,0.6408531058611739
AES,0.43686036127353195,0.5372349014768908,0.23698759132218686,0.4391302853856693,0.4311636217537215,0.3796124729706023,0.4780165830391065,0.33597739384448827,0.40504863441374944,1.0,0.44582257389427377,0.5385773548556099,0.5227667434816319,0.5097833698329336,0.4938994584831806,0.5098537471068088,0.2913022121702599,0.37752407414963174,0.3793530722958136,0.41971150084624265,0.48430787196909914,-0.024504088001419656,0.3295482342203422,0.5085887760969664,0.4253947927570436,0.47536251684449765,0.4429493168079499,0.4462115509456304,0.3073123585632782,0.4329046546988425,0.43703462558809253,0.41078043988118984,0.41131489248695224,0.6723743861663536,0.41541896633743763,0.4585594656121216,0.3946206595595494,0.5474531313532043,0.4101426430684479,0.5535500374795214,0.464592629671202,0.4829514584145069,0.5168334831075561,0.4715984357396197,0.494938257877303,0.4694998351658124,0.4855092845362521,0.3863971720978336,-0.0895418147560992,0.3799253976742326,0.47117941977601185,0.402431967318542,0.37548683843841524,0.6859255687400924,0.2603315412620699,0.36871569756953415,0.5564301538142713,0.43642773408639457,0.3631300707821866,0.4841202926897819,0.4979059162268307,0.3517679574314416,0.31580557864699094,0.3962274583224254,0.41202824158732626,0.44602414145401864,0.4437901234822794,0.45311491198674564,0.49447361258968775,0.5111157729994908
AET,0.9740348690011242,0.9576783890327942,0.9453178400963238,0.8933559839151364,0.9860625094786016,0.9651786023283175,0.9545724771998304,0.5438850337626288,0.6809324203363696,0.44582257389427377,1.0,0.5823975157943053,0.9574093843026894,0.9591279571753164,0.975036771283104,0.7458920677152105,0.8610054948929703,0.8288303393699258,0.9619783530848877,0.5549298625545505,0.8951598068237365,0.9478395850667665,0.663276489838946,0.6969039271135598,0.9639170560640825,0.9761049583863768,0.9791377270565652,0.9786894926808415,0.9204754033337805,0.9391262652185464,0.9724227431808183,0.8589838720915971,0.9584646856869045,0.8329456081712481,0.8395025329985792,0.972064433899522,0.9649001187309298,0.924012547484445,0.8445388286197358,0.9347530550575139,0.9490600010189961,0.9871761266896052,-0.26525990514444997,0.9796365429195181,0.9510785355750018,0.9881181244535734,0.9819986958244824,0.9771319987884663,-0.8369746198418508,0.9308712601857102,0.961710542625806,0.917433214062073,0.9451517312725559,0.8286131130929615,-0.08674329911541268,0.934831884034985,0.9617125642630854,0.956246606073131,0.8302712126451882,0.9402301769381315,0.9856205655971763,0.8264150718798536,0.8964229757255728,0.9739959145297534,0.012441924554657868,0.9317372634565388,0.8832909094900795,0.9615587363061713,0.9650715929724148,0.9514183676909562
AMG,0.6519063846944111,0.7028475881245413,0.002134062364391954,0.28881460775597706,0.5667733380845627,0.4144752020433524,0.431777226798335,-0.15414467426127523,0.6829710493957661,0.5385773548556099,0.5823975157943053,1.0,0.5848693383045452,0.584025330618543,0.6685425178976994,0.6963813867307961,0.6565050297522746,0.42628540750815436,0.46403372968361684,0.8736584515415083,0.34428144691605833,-0.38802560428621635,0.7932488287779332,0.9287531310661817,0.6020239696967075,0.6749394804654767,0.5628693452377803,0.5592348184688202,0.5975125723974495,0.36545063574483216,0.5656771688177988,0.7915610048680817,0.6315345337491326,0.8280068919227814,0.7764490252709636,0.622681192893718,0.5632678507223507,0.8095692860114593,0.8088832341468318,0.7704344961398565,0.7234555369104382,0.6281840479941494,0.3607627346438863,0.5840813413164603,0.5485519711878072,0.5611858454607473,0.6548142600926725,0.5775504335358437,-0.5268745249265763,0.6205585164622238,0.5726505507980074,0.4690534035986605,0.5444897580871871,0.7874587109212646,0.12024800629515651,-0.11136140323265041,0.6640386562935843,0.5994863248067914,0.6493199553994067,0.44393637899943955,0.6046953193794701,0.6804616167635072,0.614701985699945,0.5037921529441187,0.30525710144655066,0.7074308510787299,0.4578524221972206,0.6255041704662324,0.5307086827465632,0.641093941437649
AFL,0.9566075369114851,0.9239663136829208,0.9328768772802988,0.8775053254319107,0.9573148750732505,0.9483883799992863,0.9478847133723215,0.5761234120233019,0.6037872864969539,0.5227667434816319,0.9574093843026894,0.5848693383045452,1.0,0.9634339976062238,0.9456912120178126,0.7425497636858308,0.7944088973558319,0.8513235762298446,0.9307278913089885,0.4832137450022655,0.897118815539294,0.9151731664855006,0.5814092695251989,0.6533720436175816,0.9345077957317417,0.9620699901241652,0.9663199567421276,0.9684789325833617,0.866699670188736,0.9307167678005821,0.9437964654137084,0.8184190003468136,0.9218241577002272,0.8381941902461282,0.8353773214569739,0.9485249947056302,0.9343699067687071,0.912915147048672,0.7701964804833283,0.9198322307012256,0.9111556741681754,0.9716849678332546,-0.20804605538674512,0.9623473187842552,0.940862055567494,0.9421884465003036,0.964125566200712,0.9596056805568451,-0.743310976339154,0.8803199485473817,0.9102281289848022,0.9297390718187658,0.9277229790585866,0.8159678855592406,-0.044229652686287514,0.9361354071800135,0.9596210690184694,0.9373202047834304,0.8058340509416831,0.9415925558979079,0.9568548686703378,0.7520065987264528,0.810175583174825,0.972352741856644,0.028783569242070366,0.8838663390438224,0.9198211969410786,0.9572187142593451,0.9633462627770385,0.9488820098101689
A,0.9634477758296732,0.9224189658669519,0.9408828249248922,0.8618560975109651,0.9551455816038416,0.9549161402121468,0.9421933771698555,0.6003641211181276,0.5560690672757015,0.5097833698329336,0.9591279571753164,0.584025330618543,0.9634339976062238,1.0,0.9439484201211508,0.6670371928267894,0.7828290828212856,0.9131532050097357,0.9453003228061236,0.48633888694147737,0.9003245257159606,0.9065974926409112,0.5586771864103136,0.6480462895598827,0.9334346770159409,0.9595985568593696,0.9560298929222604,0.9591257936689498,0.8676313639392361,0.9216978629710738,0.9479265436355409,0.8186248607935268,0.9207578875414392,0.852146080424443,0.7998079948241331,0.958292474794054,0.9328393584723907,0.9237720887714687,0.7598096785092091,0.9295865381638806,0.8933695930135105,0.9722040360689396,-0.20375138507738227,0.9701976573525202,0.9469717224786178,0.9531165807141104,0.9653800406981324,0.9541606435243043,-0.7164656659305274,0.8801676243711399,0.9332081561416461,0.9621835589405819,0.9126607110070031,0.7946916734456708,0.027183654713133276,0.9444283266012043,0.9625444425095321,0.9207849805166651,0.8033719992016434,0.9654205706558627,0.9501688836176294,0.7249356865128769,0.8323909592565634,0.9663146703533715,0.0863223129250964,0.8880039636395425,0.9015470117547937,0.9418698410093084,0.9711429645365713,0.9479529408170855
APD,0.9821511699024053,0.9458601287912041,0.9203367144382524,0.824355077106515,0.9620187777726976,0.9158852645514559,0.90574523776832,0.44879897758775816,0.7620881106341525,0.4938994584831806,0.975036771283104,0.6685425178976994,0.9456912120178126,0.9439484201211508,1.0,0.8054102271519564,0.900193448417416,0.7988624304941399,0.9468688520707612,0.6473057696366451,0.8228717690989367,0.9222871932614333,0.7456871550897116,0.7713950559284234,0.9684742112220635,0.9759088261835931,0.9594846032158517,0.9574919523386053,0.9386393226955575,0.8792537978785353,0.9641867510818074,0.9219428969553367,0.9653502087131267,0.8535349840823752,0.893666478596287,0.9613903252309579,0.9601105739758572,0.9520049444801943,0.8957227809518462,0.9348595877308152,0.967820165288773,0.9812693509685922,-0.174180034505246,0.9602970208616141,0.9024827555871745,0.9594084589335208,0.9833375251436949,0.9676591698827105,-0.8062943404294747,0.9526548106839478,0.9380619164078875,0.8946810246328994,0.949807769318429,0.8963951054421542,0.019844369737684418,0.9163807355340484,0.9500653622860389,0.9584503219504641,0.8618709167181865,0.902872522871858,0.9752249968209816,0.875642081130029,0.9147717044264716,0.9441438992381693,0.12759427486827257,0.9660263103496884,0.848556024796936,0.9643339097899782,0.9287067454160773,0.9428031631010914
AKAM,0.7401814160191154,0.7802196461534091,0.5566583288389206,0.6255113544957459,0.7151556633861724,0.6303074883560699,0.6848411526026628,0.2098390013514943,0.7960206359143264,0.5098537471068088,0.7458920677152105,0.6963813867307961,0.7425497636858308,0.6670371928267894,0.8054102271519564,1.0,0.7450330365629908,0.42889943092664706,0.6841828372668171,0.6783810480639042,0.5913394968320399,0.19342025303380636,0.7405863633916883,0.7658444776919779,0.7024348987718311,0.760678051211174,0.7190521670823093,0.7146951934675505,0.6934949521861169,0.6356207580143335,0.690328424552447,0.8238701243328576,0.7083649820518458,0.7523251177865906,0.8180264273338544,0.7022809105792224,0.6786836393779614,0.8112293543633953,0.831382173350161,0.7685316206161683,0.8004850600983163,0.7612158987175484,0.08323740167753309,0.7361940757152484,0.677296857801225,0.7491703535507115,0.7478604823466126,0.7165270802454915,-0.6318379685167853,0.7311672239228434,0.7265567761347927,0.604476772121218,0.7993176640500745,0.865815948695397,0.08282438164518044,0.2939004635158847,0.7375165219355577,0.7332839794518061,0.61982559513506,0.6452154621837849,0.7624674723579778,0.765651967011988,0.6773719389019701,0.6867563751738639,0.2233010100492286,0.7643755411822879,0.6973808542643929,0.7917375762769141,0.6498793455290565,0.7687188365911877
ALK,0.8905022399478498,0.8108006339323091,0.5241558665676329,0.6082750533892451,0.846472481750913,0.7751845708617295,0.7136379403346075,0.25565839593086925,0.8602193516384319,0.2913022121702599,0.8610054948929703,0.6565050297522746,0.7944088973558319,0.7828290828212856,0.900193448417416,0.7450330365629908,1.0,0.669206820540611,0.8395265778664108,0.7218615922915725,0.5778100513952114,0.605766346684886,0.8737309290619182,0.8107197312420982,0.9064804876682905,0.8759105114749495,0.8592707932262101,0.8498919851624998,0.9580680994378372,0.6975093503577097,0.8812133336389936,0.9299963261805982,0.9155643626874331,0.7137541382833541,0.933275453429246,0.8533562289304665,0.8902823605328478,0.8519011620500924,0.9214900128115788,0.8117311905798029,0.9216237176329479,0.8637164192157746,-0.2521237327781818,0.839513916819553,0.7158599900044581,0.8180743831914393,0.8908406449647146,0.8867705112378093,-0.8398700734783032,0.9428353698372852,0.8022524959886447,0.7258629640390543,0.785065778695987,0.829108348625399,-0.04038914797596923,0.08080330166935254,0.8083021458457382,0.9249888847261817,0.8877900589974412,0.7183199425456535,0.8632158706302602,0.919200262515498,0.9325653095561653,0.8091924303890937,0.15272134293238426,0.9412391394664187,0.6866175222131901,0.8728785417996148,0.7659029722390951,0.8209452378329498
